public_model,public_brand,light_type,internal_model,internal_supplier,internal_product_id
IOO-LT-0184,IOO,illumination,PM2-025-X-CUBE-MODULE,private_supplier,510
IOO-LT-0185,IOO,illumination,PM2-025-X-HPD2-00-050-1-X-24V,private_supplier,511
IOO-LT-0186,IOO,illumination,PM2-025-X-IDD-00-045-4-X-24V,private_supplier,512
IOO-LT-0187,IOO,illumination,PM2-025-X-LBMQ-00-040-3-X-24V,private_supplier,513
IOO-LS-0090,IOO,line_scan_light,PM2-025-X-LSQ-15.30.45-051-3-X-24V,private_supplier,514
IOO-LS-0091,IOO,line_scan_light,PM2-025-X-LSQF-15.30.45-051-3-X-24V,private_supplier,515
IOO-LT-0188,IOO,illumination,PM2-040-X-CUBE-MODULE,private_supplier,516
IOO-LT-0189,IOO,illumination,PM2-040-X-IDD-00-080-3-X-24V,private_supplier,517
IOO-LT-0190,IOO,illumination,PM2-040-X-IDDQ-00-070-3-X-24V,private_supplier,518
IOO-BAR-0050,IOO,bar_light,PM2-040-X-HLBQ2-00-065-1-X-24V,private_supplier,519
IOO-DF-0036,IOO,dark_field,PM2-040-X-DLC-00-070-1-X-24V,private_supplier,520
IOO-LT-0191,IOO,illumination,PM2-040-X-HPD2-00-080-1-X-24V,private_supplier,521
IOO-LT-0192,IOO,illumination,MD-MLBQ-00-360-2-X,private_supplier,522
