severity,issue_type,model,family_name,detail,source_url
medium,low_core_field_coverage,DLC2,RGBW ILLUMINATION - DLC2,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-dlc
medium,low_core_field_coverage,HPD,RGBW ILLUMINATION - HPD,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-hpd
medium,low_core_field_coverage,MD-MLBQ,RGBW ILLUMINATION - MD-MLBQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-md-mlbq
medium,low_core_field_coverage,MLBQ,RGBW ILLUMINATION - MLBQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/rgbw-illumination-mlbq
medium,low_core_field_coverage,HPD,UV ILLUMINATION - HPD,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-hpd
medium,low_core_field_coverage,LLA,UV ILLUMINATION - LLA,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-lla
medium,low_core_field_coverage,LSW,UV ILLUMINATION - LSW,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-lsw
medium,low_core_field_coverage,CAS3-00-150-X-X,CAS3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/cas3-serie.html
medium,low_core_field_coverage,CAS3-00-200-X-X,CAS3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/cas3-serie.html
medium,low_core_field_coverage,CAS3-00-250-X-X,CAS3 Series,"缺少核心字段: 电压, 功率, 电流, 重量",https://www.tms-lite.com/cas3-serie.html
medium,low_core_field_coverage,LC-18-1CH-X10,LC-18-1CH-X10 Controller,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lc-18-1ch-x10-controller.html
medium,low_core_field_coverage,UV385,UV Illumination - HPD,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-hpd.html
medium,low_core_field_coverage,UV395,UV Illumination - HPD,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-hpd.html
medium,low_core_field_coverage,UV405,UV Illumination - HPD,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-hpd.html
medium,low_core_field_coverage,UV385,UV Illumination - LSW,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsw-uv-illumination-serie.html
medium,low_core_field_coverage,UV395,UV Illumination - LSW,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsw-uv-illumination-serie.html
medium,low_core_field_coverage,UV405,UV Illumination - LSW,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lsw-uv-illumination-serie.html
medium,low_core_field_coverage,CAS2-00-025-X-UV365,UV Illumination - CAS2,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/cas2-uv-illumination-serie.html
medium,low_core_field_coverage,CAS2-00-040-X-UV365,UV Illumination - CAS2,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/cas2-uv-illumination-serie.html
medium,low_core_field_coverage,UV385,UV Illumination - LLA,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lla-uv-illumination-serie.html
medium,low_core_field_coverage,UV395,UV Illumination - LLA,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lla-uv-illumination-serie.html
medium,low_core_field_coverage,UV405,UV Illumination - LLA,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lla-uv-illumination-serie.html
medium,low_core_field_coverage,UV385,UV Illumination - LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-uv-illumination-serie.html
medium,low_core_field_coverage,UV395,UV Illumination - LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-uv-illumination-serie.html
medium,low_core_field_coverage,UV405,UV Illumination - LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-uv-illumination-serie.html
medium,low_core_field_coverage,UV385,UV Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-lbrq.html
medium,low_core_field_coverage,UV395,UV Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-lbrq.html
medium,low_core_field_coverage,UV405,UV Illumination - LBRQ,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/uv-illumination-lbrq.html
medium,low_core_field_coverage,LBRX-00-040-3-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-080-3-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-120-3-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-160-3-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-200-3-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-040-6-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-080-6-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-120-6-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-160-6-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
medium,low_core_field_coverage,LBRX-00-200-6-IR850,IR-Illumination- LBRX,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/lbrx-ir-beleuchtungsserie.html
